state,county,total_population,life_expectancy,percent_fair_or_poor_health,percent_frequent_physical_distress,percent_adults_with_obesity,percent_frequent_mental_distress,percent_insufficient_sleep,per_capita_income,percent_homeowners,percent_below_poverty,percent_unemployed_CDC,percent_limited_access_to_healthy_foods,percent_severe_housing_cost_burden,percent_no_highschool_diploma,high_school_graduation_rate,percent_vaccinated,percent_fair_or_poor_health_score,percent_frequent_physical_distress_score,percent_adults_with_obesity_score,percent_frequent_mental_distress_score,percent_insufficient_sleep_score,health_score,percent_limited_access_to_healthy_foods_score,percent_severe_housing_cost_burden_score,qol_score,per_capita_income_score,percent_homeowners_score,percent_below_poverty_score,percent_unemployed_CDC_score,wealth_avg_score,high_school_graduation_rate_score,percent_no_highschool_diploma_score,education_avg_score,final_score
Alabama,Autauga,55049,76.87947717,20.88298733,13.68522862,33.3,14.12934665,35.90540606,26168.0,74.89462467,12.3,5.6,11.991125,13.40348117,12.4,90.0,41.0,61.17333162364446,61.51311875983299,53.86313465783665,53.7462521643655,45.61923495974128,55.18301443308418,83.30954557760688,59.35560481978325,71.33257519869507,29.495422461387935,80.143076448336,79.84644913627639,81.27090301003349,67.68896276400847,86.5519096288327,77.88844621513942,82.22017792198606,69.10618257944344
Alabama,Jefferson,659096,74.67116264,19.69630214,13.71110804,34.6,14.56821527,36.34513264,28162.0,62.79912925,18.1,8.2,12.27159061,15.13814359,11.0,88.73381114,44.0,64.78356485613966,61.360700596483696,50.99337748344372,50.432681301007506,43.76223724264025,54.266512295942974,82.919165318811,53.71642447574129,68.31779489727614,32.97924383255294,66.42026013557683,68.7140115163148,72.57525083612038,60.17219158014124,84.84912740720816,80.67729083665338,82.76320912193077,66.37992697382279
Alabama,Lamar,14066,74.3449866,24.25531098,15.87235797,35.7,16.12057478,37.87654685,20206.0,76.44794108,23.9,9.5,0.75067659,7.050823193,22.6,94.28571429,40.0,50.913765721452904,48.63190895936816,48.56512141280352,38.71196806843989,37.29496230122999,44.82354529265889,98.9551327826745,80.00733715875873,89.48123497071661,19.078901390733105,81.90537514135015,57.58157389635315,68.22742474916387,56.69831879440007,92.31537693652501,57.569721115537874,74.94254902603144,66.48641202095176
Alabama,Lauderdale,92641,76.16952605,20.12583341,14.09689061,32.5,14.57050903,35.05816101,24893.0,68.48418757,18.3,7.6,5.038074088,10.91323824,15.1,94.38528558,49.0,63.476808794449965,59.08861448436943,55.62913907284768,50.415362823547184,49.19721317446533,55.56142766993592,92.98750151112563,67.45108715734682,80.21929433423622,27.267803480327064,72.87018288315481,68.33013435700576,74.58193979933114,60.76251512995469,92.4492813071544,72.50996015936255,82.47962073325847,69.75571446684633
Alabama,Lawrence,33433,73.81540359,21.83380312,14.50540137,32.6,15.35418659,38.71894829,21911.0,79.0960893,18.3,8.3,2.122488173,9.166666667,22.5,88.05555556,40.0,58.28068006620887,56.682669538631615,55.408388520971315,44.4983958526949,33.737439008090405,49.72151459731943,97.04570737828811,73.1289827353948,85.08734505684146,22.057795792857643,84.90980367694627,68.33013435700576,72.24080267558529,61.884634125598744,83.93700317374933,57.76892430278883,70.85296373826908,66.88661437950718
Alabama,Limestone,90257,77.70135529,20.11404561,13.5740957,33.9,14.11353788,37.39478359,26086.0,78.01780489,14.1,7.9,3.518353856,9.517647439,16.8,92.00743494,46.0,63.51267062845329,62.16764175741349,52.538631346578356,53.86561244047175,39.32948401243317,54.28280803707001,95.10280105699681,71.98798616581496,83.54539361140588,29.35215598574324,83.68644751190033,76.3915547024952,73.57859531772576,65.75218837946613,89.25152627756859,69.12350597609563,79.18751612683211,70.69197653869354
Alabama,Lowndes,10565,71.15970302,30.35591055,17.61559354,46.9,17.00707636,42.73863118,18434.0,73.66028708,28.7,12.3,13.06214495,16.73034935,25.2,91.30434783,32.0,32.354009948516904,38.36503420465692,23.84105960264901,32.01865332242585,16.76202226116567,28.66815586788287,81.8187922362024,48.540353718721974,65.17957297746219,15.982947795093995,78.74267179955281,48.368522072936656,58.862876254180634,50.489254480441026,88.3060083781603,52.39043824701196,70.34822331258613,53.671301659593055
Alabama,Macon,19684,73.16182193,29.86333813,17.20494401,49.6,17.05954112,45.89316797,18385.0,65.74571167,25.5,15.0,21.63866443,18.25291427,19.5,80.0,33.0,33.852555085070435,40.78357554533818,17.88079470198676,31.622530901804566,3.4401811808718037,25.515927483014348,69.88112938274145,43.59067701482951,56.73590319878548,15.897337340135582,69.76327403422253,54.510556621880994,49.83277591973243,47.50098597899288,73.1038192576654,63.745019920318725,68.42441958899207,49.544309062446196
Alabama,Madison,349973,77.40538974,19.25782533,13.05633916,32.9,13.87830515,36.15362162,33264.0,67.22613868,13.3,7.3,7.467345123,11.04709472,9.2,93.19437469,45.0,66.11753579003198,65.21699529350082,54.746136865342166,55.64168000309701,44.57100237787421,57.25867006596924,89.60619763102201,67.015935728322,78.31106667967201,41.89321406108044,71.44287682991168,77.92706333973129,75.58528428093646,66.71210962791497,90.84773357988166,84.26294820717132,87.55534089352649,72.45929681677067
Alabama,Marengo,20066,73.18504344,26.24173744,16.75852132,42.2,16.86578076,39.26068391,20359.0,71.22811535,27.8,14.1,12.62897065,15.49066113,16.1,90.90909091,33.0,44.87049250945648,43.41280473545345,34.216335540838855,33.08547141318081,31.449649605838943,37.406950760953706,82.4217278165672,52.57043205694083,67.49607993675401,19.346215668460406,75.98327710483962,50.09596928982725,52.842809364548515,49.567067856918946,87.77446330016139,70.5179282868526,79.14619579350699,58.404073587033416
